C_Nus;lon;lat;Residentialcount;Businesscount;Restaurantcount;Culturalcount;Schoolcount;Retirementcount
N01103M;2.152792041;41.37967261;71977;3;4;0;0;0
N01104N;2.15391958;41.38051687;67866;5;9;0;0;0
N01109S;2.15166087;41.38052484;98500;7;2;0;1;0
N01115Q;2.156193042;41.3822305;72980;5;7;0;0;0
N01120N;2.152794287;41.38137325;98858;5;6;0;0;0
N01122P;2.155058782;41.38308106;67753;3;10;0;0;0
N01159C;2.163206002;41.37692034;70387;13;9;1;1;0
N01163Y;2.159803541;41.37607157;62405;2;7;0;0;0
N01184D;2.159595553;41.38476877;76812;7;8;0;0;0
N01192D;2.147165299;41.38392273;97808;5;5;0;0;0
N01193E;2.148278487;41.38476965;84563;11;9;0;1;0
N01195G;2.150548345;41.38647786;90731;4;8;0;1;0
N01202O;2.146031285;41.38477896;61787;4;6;0;0;0
N01203P;2.147150556;41.38563262;81124;5;8;0;0;0
N01216U;2.146009092;41.38648823;121770;1;4;0;0;0
N01219X;2.158462266;41.38563387;84207;9;9;0;0;1
N01223T;2.161853765;41.38818688;39659;1;10;0;0;0
N01230S;2.162989247;41.3873241;15482;2;4;0;1;0
N01243X;2.157358101;41.39158598;49551;4;10;0;1;0
N01259F;2.153968325;41.3890248;42783;4;3;0;0;0
N01261Z;2.151664637;41.39075992;57386;4;10;0;0;0
N01297L;2.170932272;41.40179398;55844;1;9;0;0;0
N01298M;2.172049533;41.40264331;38042;5;6;0;1;0
N01333Y;2.159979365;41.39359799;70184;12;6;0;0;1
N01346D;2.170895973;41.39327003;54908;3;11;0;0;0
N01347E;2.16976207;41.39413746;66858;6;9;0;0;0
N01350Z;2.175678702;41.39138894;44738;3;4;1;0;0
N01351A;2.174555665;41.39222861;61857;4;3;0;1;0
N01353C;2.172026619;41.39413635;89668;1;8;0;0;0
N01354D;2.17090978;41.39499377;65308;8;7;1;1;1
N01369K;2.175426344;41.3983822;97901;4;8;0;0;0
N01370D;2.17655196;41.39923783;80658;4;1;0;0;0
N01375I;2.176561954;41.39752638;98059;6;4;0;0;0
N01376J;2.177699312;41.39836923;92622;3;3;0;0;0
N01382H;2.179046472;41.39563154;99910;1;1;0;1;0
N01383I;2.180200761;41.39647967;112638;5;9;0;0;0
N01393K;2.180211396;41.39476851;89588;1;4;0;1;0
N01415Z;2.155070326;41.39331607;53389;5;13;0;0;0
N01421X;2.157673165;41.39527814;61000;6;6;0;0;0
N01443D;2.181327149;41.39562952;74192;5;7;0;0;0
N01487P;2.186982435;41.39648901;5303;0;0;0;0;0
N01492M;2.164584802;41.390238;50431;6;11;0;0;1
N01494O;2.165736856;41.38941599;44051;9;8;0;0;1
N01504Z;2.173410936;41.3913919;81087;8;7;0;0;1
N01516D;2.174537;41.39053329;60007;25;1;0;0;0
N01531C;2.164330212;41.3760702;86960;0;5;0;0;0
N01571K;2.144886809;41.38564268;99928;2;1;0;0;0
N01576P;2.144908642;41.38222362;30873;1;2;0;0;0
N01587S;2.177768214;41.40693354;63093;3;6;0;0;2
N01589U;2.17885444;41.4077407;90205;2;4;0;1;1
N01645L;2.175458861;41.40865424;68438;7;4;0;0;0
N01646M;2.176577919;41.40946415;48269;1;6;0;0;0
N02659V;2.172701047;41.41076519;31674;1;3;0;0;0
N03675Z;2.183338248;41.41965026;48590;0;4;0;0;0
N03677B;2.184529747;41.42046705;15506;0;1;0;0;0
N03732R;2.187985186;41.42128203;79998;7;6;0;1;0
N03759C;2.187894282;41.41793706;73545;1;8;0;0;0
N03761W;2.190167391;41.41962754;38846;0;2;1;0;0
N03790B;2.190154119;41.41624194;98556;0;3;0;0;0
N03791C;2.189019028;41.41710731;59435;1;0;0;0;0
N04460Q;2.1890144;41.41538869;85690;5;5;0;0;0
N05820Y;2.193546818;41.41198425;102472;1;3;0;0;0
N05821Z;2.194670015;41.4128239;40274;2;2;0;0;0
N05851F;2.195821045;41.41200542;44000;1;1;0;0;0
N06014G;2.191545643;41.39986049;0;0;0;1;0;0
N06024I;2.194950606;41.40072369;16757;0;1;0;0;0
N06025J;2.19383788;41.40157133;28361;0;0;0;0;0
N06049R;2.19159503;41.40328767;0;0;0;0;0;0
N06051L;2.196072364;41.40159037;39209;0;5;0;0;0
N06053N;2.194967513;41.4024318;18494;0;1;1;0;0
N06068U;2.19831791;41.39987091;28068;1;2;0;0;0
N06070O;2.200567954;41.40158934;48228;8;14;1;1;0
N06075T;2.203950922;41.40415485;35398;5;2;0;1;0
N06077V;2.205063574;41.40499298;38797;2;4;0;0;1
N06084U;2.202887969;41.39984649;56262;6;8;1;0;0
N06130J;2.206264227;41.40240809;66140;2;1;0;0;0
N06133M;2.207383589;41.40325132;34939;2;2;0;0;0
N06135O;2.209632401;41.40495558;46024;1;2;0;0;0
N06137Q;2.210746625;41.40582035;56766;3;1;0;0;0
N06146R;2.207362922;41.40670897;27588;0;3;0;1;0
N06148T;2.208511185;41.40753706;40688;0;1;0;0;0
N06227R;2.199489555;41.40921825;25685;1;1;0;0;0
N06237T;2.201741523;41.41089994;5002;0;0;0;0;0
N06248W;2.198096801;41.41368613;58103;3;2;0;0;0
N06253T;2.208466527;41.41094714;5391;0;0;0;0;0
N06255V;2.20739378;41.41178247;735;0;1;0;0;0
N06259Z;2.209660019;41.4117883;0;0;1;0;0;0
N06260S;2.208522296;41.41263703;2970;0;0;0;0;0
N06269B;2.210779486;41.41433343;0;0;0;0;0;0
N06281X;2.204013903;41.40921371;42481;1;1;0;0;0
N06287D;2.205112812;41.40840429;73560;1;4;0;0;0
N06592J;2.198305569;41.39473536;5579;0;2;0;0;0
N06593K;2.19717778;41.39559118;33079;0;3;0;0;0
N06595M;2.197258985;41.39396084;1358;0;0;1;1;0
N06599Q;2.200573461;41.39643356;19028;0;0;0;0;0
N06603V;2.19612611;41.39481788;60579;0;1;0;0;0
N06604W;2.199459062;41.3972959;13601;0;4;0;0;0
N06629F;2.20401361;41.39897353;60906;3;10;0;0;0
N06641B;2.200595771;41.39813358;10720;0;1;1;0;0
N06692M;2.201721262;41.39728075;18948;1;2;0;0;0
N06698S;2.197186599;41.39901743;13755;1;3;0;0;1
N06707C;2.192616696;41.39216428;49223;0;0;0;0;0
N06708D;2.19376056;41.39301271;70182;0;1;0;0;0
N06710X;2.191493394;41.39470544;7022;1;1;0;0;0
N06715C;2.190318042;41.39394041;18997;0;2;0;0;0
N06722B;2.193871215;41.39649604;9781;0;1;0;0;0
N06725E;2.191555563;41.39821407;1292;0;0;0;0;0
N06726F;2.190434062;41.39904383;0;0;0;0;0;0
N06732D;2.189172606;41.39646537;15732;0;2;0;0;0
N06733E;2.188109477;41.39566286;40095;0;2;0;0;1
N06747K;2.194910765;41.39730738;8717;1;1;0;0;0
N06753I;2.192640732;41.3990229;4697;0;1;0;0;0
N08564N;2.193728402;41.39131191;102487;1;3;0;0;0
N08614G;2.194878136;41.39215469;160596;0;0;0;0;0
N08704H;2.188099384;41.39729902;20786;0;2;0;0;0
N09171E;2.196123623;41.40668395;104797;0;3;0;0;0
N09889J;2.211919342;41.41348952;0;0;0;0;0;0
N10299O;2.187893166;41.41625781;80543;4;9;0;0;0
N10799D;2.206228254;41.40923758;32390;0;0;0;0;0
N10801G;2.20517686;41.41003786;2274;0;0;0;0;0